jaar,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980
1000 jaar geleden,,1.0,,,,,1.0,,1.0,
190 jaar geleden,,1.0,,,,,,,,
bonden jaar geleden,,1.0,,,,,,,,
itn jaar geleden,,1.0,,,,,,,,
afrekening eaajaar geleden,,1.0,,,,,,,,
andronir jaar geleden,,1.0,,,,,,,,
dna jaar geleden,,1.0,,,,,,,,
noorwt jaar geleden,,1.0,,,,,,,,
volk jaar geleden,,1.0,,,,1.0,,,,
t_rnod jaar geleden,,1.0,,,,,,,,
bij jaar geleden,,1.0,3.0,2.0,,,1.0,,1.0,
vijfenzeventig jaar geleden,,1.0,,,1.0,,,,1.0,
deitig jaar geleden,,1.0,,,,,,,,
tweo jaar geleden,,1.0,,1.0,,,,1.0,,
gmstig jaar geleden,,1.0,,,,,,,,
zeventig jaar geleden,,1.0,1.0,2.0,8.0,4.0,3.0,4.0,11.0,7.0
entwini gjaar geleden,,1.0,,,,,,,,
oageveer jaar geleden,,1.0,,,,,,,,
bal jaar geleden,,1.0,,,,,,,,
ijftier jaar geleden,,1.0,,,,,,,,
zoowat jaar geleden,,1.0,,,,,,,,
terveld jaar geleden,,1.0,,,,,,,,
lat jaar geleden,,1.0,,,,,,,,
schoosrea jaar geleden,,1.0,,,,,,,,
400 jaar geleden,,1.0,,1.0,2.0,1.0,4.0,12.0,12.0,12.0
ren jaar geleden,,1.0,,,2.0,1.0,,,1.0,
zevcncndertig jaar geleden,,1.0,,,,,,,,
april jaar geleden,,1.0,,,1.0,,1.0,,,
den jaar geleden,,1.0,,,,2.0,,,1.0,
zookit jaar geleden,,1.0,,,,,,,,
maand jaar geleden,,1.0,,2.0,,,,,3.0,
kleine jaar geleden,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0
wee jaar geleden,,1.0,,,,,1.0,2.0,,
blad lokijaar geleden,,1.0,,,,,,,,
bedes jaar geleden,,1.0,,,,,,,,
reeds vijfjaar geleden,,1.0,,,,,,,,
aritocratiehonderd jaar geleden,,1.0,,,,,,,,
cktg jaar geleden,,1.0,,,,,,,,
luiodu jaar geleden,,1.0,,,,,,,,
hoe jaar geleden,,1.0,1.0,,,,,,1.0,2.0
loenenbijna jaar geleden,,1.0,,,,,,,,
ytarar jaar geleden,,1.0,,,,,,,,
otenale jaar geleden,,1.0,,,,,,,,
andeihalt jaar geleden,,1.0,,,,,,,,
jubileum jaar geleden,,1.0,,,,,,,,
van vijfjaar geleden,,1.0,,,,,,,,
aaar jaar geleden,,1.0,,,,,,,,
beden jaar geleden,,1.0,,,,,,,,
soa jaar geleden,,1.0,,,,,,,,
elf jaar geleden,,1.0,,2.0,7.0,2.0,5.0,15.0,33.0,33.0
hens jaar geleden,,1.0,,,,,,,,
ree jaar geleden,,1.0,,,,,,,,
wij jaar geleden,,1.0,,,,,2.0,,,
donderdag jaar geleden,,1.0,1.0,,,,1.0,,,
werd jaar geleden,,1.0,,4.0,4.0,3.0,2.0,7.0,18.0,14.0
ben jaar geleden,,,2.0,,,,,,,1.0
tweehonderd jaar geleden,,,2.0,1.0,1.0,2.0,2.0,4.0,1.0,11.0
veertien jaar geleden,,,2.0,1.0,10.0,3.0,4.0,8.0,19.0,36.0
hebben jaar geleden,,,1.0,,,,,,,1.0
wltti jaar geleden,,,1.0,,,,,,,
tij jaar geleden,,,1.0,1.0,,,,,,
oen jaar geleden,,,1.0,3.0,2.0,,1.0,1.0,,
125 jaar geleden,,,1.0,,1.0,,1.0,1.0,4.0,4.0
171 jaar geleden,,,1.0,,,,,,,
janiari jaar geleden,,,1.0,,,,,,,
bvesale jaar geleden,,,1.0,,,,,,,
ïevan jaar geleden,,,1.0,,,,,,,
zich jaar geleden,,,1.0,1.0,,,1.0,3.0,4.0,3.0
eerj jaar geleden,,,1.0,,,,,,,
goed jaar geleden,,,1.0,1.0,4.0,1.0,1.0,5.0,4.0,1.0
tegen jaar geleden,,,1.0,,,,,,1.0,
klein jaar geleden,,,1.0,2.0,2.0,,1.0,1.0,5.0,5.0
dit jaar geleden,,,1.0,2.0,1.0,,1.0,2.0,1.0,1.0
negentienhonderd jaar geleden,,,1.0,,,,,1.0,,
dri jaar geleden,,,1.0,,,,1.0,,,
vijfentwintin jaar geleden,,,1.0,,,,,,,
geheeltwee jaar geleden,,,1.0,,,,,,,
vaa jaar geleden,,,1.0,,,,,,,
160 jaar geleden,,,1.0,,,,,1.0,,
kostte jaar geleden,,,1.0,,,,,,,2.0
beschermenpcht jaar geleden,,,1.0,,,,,,,
twintlg jaar geleden,,,1.0,,,,,,,
ssi jaar geleden,,,1.0,,,,,,,
tirpits jaar geleden,,,1.0,,,,,,,
ecn jaar geleden,,,1.0,,,,,,,
cobarget jaar geleden,,,1.0,,,,,,,
januari jaar geleden,,,1.0,,,,,,,
eer jaar geleden,,,1.0,2.0,1.0,,,,,
bestien jaar geleden,,,1.0,,,,,,,
loicuecudaif jaar geleden,,,1.0,,,,,,,
toevallig jaar geleden,,,1.0,,,,,,,
riuiend jaar geleden,,,1.0,,,,,,,
jonev jaar geleden,,,1.0,,,,,,,
keizer wiljaar geleden,,,1.0,,,,,,,
bondexd jaar geleden,,,1.0,,,,,,,
gebeurde jaar geleden,,,1.0,,,,,1.0,3.0,
wintig jaar geleden,,,1.0,,,,,,,
ses jaar geleden,,,1.0,,,,,,1.0,
vindenprie jaar geleden,,,1.0,,,,,,,
dno jaar geleden,,,1.0,,,,,,,
soo jaar geleden,,,1.0,,,,,,,
ziin jaar geleden,,,1.0,,,,,,,
laar jaar geleden,,,1.0,,,,,,,
binnenliepen jaar geleden,,,1.0,,,,,,,
ajti jaar geleden,,,1.0,,,,,,,
let jaar geleden,,,1.0,,,,,,,
heer jaar geleden,,,1.0,,,,1.0,,,
met jaar geleden,,,1.0,,,,,3.0,3.0,2.0
rul jaar geleden,,,1.0,,,,,,,
veroorsaken jaar geleden,,,1.0,,,,,,,
waar jaar geleden,,,1.0,2.0,,,,2.0,3.0,4.0
mat jaar geleden,,,1.0,,,,,,,
slechts jaar geleden,,,1.0,,1.0,,,1.0,,
betten jaar geleden,,,1.0,,,,,,,
eon jaar geleden,,,1.0,1.0,,,,,,
volrloealng jaar geleden,,,1.0,,,,,,,
uergambaclit jaar geleden,,,1.0,,,,,,,
bond jaar geleden,,,1.0,,,,,,,
ntig jaar geleden,,,1.0,,,,,,,1.0
dne jaar geleden,,,1.0,,,,,,,
deze jaar geleden,,,1.0,,,,1.0,1.0,1.0,2.0
500 jaar geleden,,,1.0,1.0,,,,4.0,4.0,4.0
308 jaar geleden,,,1.0,,,,,,,
gehouden jaar geleden,,,1.0,,,,,,,
bcv jaar geleden,,,1.0,,,,,,,
eindigde jaar geleden,,,1.0,,,,,,,
onderwijzers jaar geleden,,,1.0,,,,,,,
optwee jaar geleden,,,1.0,,,,,,,
oirevecr jaar geleden,,,1.0,,,,,,,
berustte jaar geleden,,,1.0,,,,,,,
twintie jaar geleden,,,1.0,,,,,,,
twiatig jaar geleden,,,1.0,,,,,,,
bekl jaar geleden,,,1.0,,,,,,,
vijftitr jaar geleden,,,1.0,,,,,,,
voortrekkers jaar geleden,,,1.0,,,,,,,
2914 jaar geleden,,,1.0,,,,,,,
groot jaar geleden,,,1.0,1.0,,,,,,
tweoeneerihnlf jaar geleden,,,1.0,,,,,,,
vin jaar geleden,,,1.0,,,,,,,
halt jaar geleden,,,1.0,,1.0,,1.0,,,
twès jaar geleden,,,1.0,,,,,,,
twe jaar geleden,,,1.0,2.0,,,,1.0,,1.0
hll jaar geleden,,,1.0,,,,,,,
arnhem jaar geleden,,,1.0,,,,,,,
twaalf jaar geleden,,,1.0,4.0,15.0,2.0,7.0,28.0,44.0,61.0
thans jaar geleden,,,,5.0,3.0,1.0,,1.0,1.0,
zeventien jaar geleden,,,,3.0,5.0,,2.0,10.0,16.0,13.0
juli jaar geleden,,,,3.0,,,,,,
150 jaar geleden,,,,2.0,6.0,1.0,4.0,10.0,10.0,25.0
duizend jaar geleden,,,,2.0,8.0,,1.0,2.0,2.0,4.0
130 jaar geleden,,,,2.0,,,,,,2.0
circa jaar geleden,,,,2.0,,,,,,3.0
200 jaar geleden,,,,2.0,3.0,1.0,4.0,4.0,10.0,16.0
eerst jaar geleden,,,,2.0,,,1.0,1.0,,
ontsnappentwee jaar geleden,,,,1.0,,,,,,
jubileert jaar geleden,,,,1.0,,,,,,
mortaliteit jaar geleden,,,,1.0,,,,,,
3035 jaar geleden,,,,1.0,,,,,,
140 jaar geleden,,,,1.0,,,,,,1.0
brug jaar geleden,,,,1.0,,,,,,
nagenoeg jaar geleden,,,,1.0,,,,,,
bef jaar geleden,,,,1.0,,,,,,
wtwee jaar geleden,,,,1.0,,,,,,
zea jaar geleden,,,,1.0,1.0,,,,,
650 jaar geleden,,,,1.0,,,,,2.0,
3000 jaar geleden,,,,1.0,2.0,,1.0,,6.0,2.0
twin jaar geleden,,,,1.0,,,,,,
noordzeekanaal jaar geleden,,,,1.0,,,,,,
won jaar geleden,,,,1.0,,,,,,
4050 jaar geleden,,,,1.0,,,,,1.0,
toec jaar geleden,,,,1.0,,,,,,
ol3o jaar geleden,,,,1.0,,,,,,
warenvijftig jaar geleden,,,,1.0,,,,,,
gustaven jaar geleden,,,,1.0,,,,,,
dag jaar geleden,,,,1.0,1.0,1.0,1.0,,,2.0
lift jaar geleden,,,,1.0,,,,,,
ongeveer éettïgjaar geleden,,,,1.0,,,,,,
uitkwam jaar geleden,,,,1.0,,,,,,
wintdertig jaar geleden,,,,1.0,,,,,,
wel jaar geleden,,,,1.0,,,,,1.0,1.0
millioen jaar geleden,,,,1.0,,,,,,
eet jaar geleden,,,,1.0,1.0,,,,,
lilveertig jaar geleden,,,,1.0,,,,,,
vrletwee jaar geleden,,,,1.0,,,,,,
tilburgtwee jaar geleden,,,,1.0,,,,,,
veeriï jaar geleden,,,,1.0,,,,,,
ton jaar geleden,,,,1.0,,,,,,
derüg jaar geleden,,,,1.0,,,,,,
hoofdassistenttwee jaar geleden,,,,1.0,,,,,,
slectrs jaar geleden,,,,1.0,,,,,,
coo jaar geleden,,,,1.0,,,,,,
len jaar geleden,,,,1.0,,,,1.0,,
october jaar geleden,,,,1.0,,,,,,
verzor omjaar geleden,,,,1.0,,,,,,
maatregel jaar geleden,,,,1.0,,,,,,
goed halfjaar geleden,,,,1.0,,,,,1.0,
gevoegd jaar geleden,,,,1.0,,,,,,
som jaar geleden,,,,1.0,,,,,,
haif jaar geleden,,,,1.0,1.0,,,,,
zat jaar geleden,,,,1.0,,,,,,
balf jaar geleden,,,,1.0,,,,,1.0,
vee jaar geleden,,,,1.0,,,,,,
bepaaldvijfendertig jaar geleden,,,,1.0,,,,,,
kuiperstraat jaar geleden,,,,1.0,,,,,,
ong jaar geleden,,,,1.0,,,,,,
2400 jaar geleden,,,,1.0,,,,1.0,1.0,
vijfli jaar geleden,,,,1.0,,,,,,
ving jaar geleden,,,,1.0,,,,,,
éen jaar geleden,,,,1.0,,,,,,1.0
twefe jaar geleden,,,,1.0,,,,,,
geven jaar geleden,,,,1.0,,,,,,
verloor jaar geleden,,,,1.0,,,,,,
4eu jaar geleden,,,,1.0,,,,,,
moeder jaar geleden,,,,1.0,,,,,,
ófn jaar geleden,,,,1.0,,,,,,
twintiir jaar geleden,,,,1.0,,,,,,
aan jaar geleden,,,,1.0,1.0,1.0,,4.0,1.0,2.0
69748ijfii jaar geleden,,,,1.0,,,,,,
tenminste jaar geleden,,,,1.0,,,,,1.0,
onpevieer jaar geleden,,,,1.0,,,,,,
omstreeks jaar geleden,,,,1.0,2.0,,1.0,1.0,,
staandetwintig jaar geleden,,,,1.0,,,,,,
geprofiteerd jaar geleden,,,,1.0,,,,,,
ertrouwen jaar geleden,,,,1.0,,,,,,
voorzien jaar geleden,,,,1.0,,,,,,
tnrksche jaar geleden,,,,1.0,,,,,,
tvaalf jaar geleden,,,,1.0,,,,,,
ongo jaar geleden,,,,1.0,,,,,,
februari jaar geleden,,,,1.0,,,,,,
tli jaar geleden,,,,1.0,,,,,,
bedrijven jaar geleden,,,,1.0,,,,,,
pen jaar geleden,,,,1.0,,,,1.0,,
llou jaar geleden,,,,1.0,,,,,,
teertlg jaar geleden,,,,1.0,,,,,,
toeliettien jaar geleden,,,,1.0,,,,,,
vrouw jaar geleden,,,,1.0,1.0,,,2.0,,
meter jaar geleden,,,,1.0,,,,,,
seren jaar geleden,,,,1.0,,,,,,
vijentwintig jaar geleden,,,,1.0,,,,,,
zeshonderd jaar geleden,,,,1.0,,,,,,
dim jaar geleden,,,,1.0,,,,,,
850 jaar geleden,,,,1.0,1.0,,,,,
knaap jaar geleden,,,,1.0,,,,,,
dezedagen jaar geleden,,,,1.0,,,,,,
vijfentwlntlg jaar geleden,,,,1.0,,,,,,
neren jaar geleden,,,,1.0,,,,1.0,,
rende jaar geleden,,,,1.0,,,,,,
4cm jaar geleden,,,,1.0,,,,,,
veer jaar geleden,,,,1.0,,,,,,
hir jaar geleden,,,,1.0,,,,,,
want jaar geleden,,,,1.0,,,,2.0,3.0,2.0
komst jaar geleden,,,,1.0,,,,,,
pas jaar geleden,,,,1.0,,,2.0,2.0,2.0,2.0
